name,normalized_name,description,type,source,source_id,language_hint,romanized,alias_of,confidence
Beatrix,beatrix,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920857,en_romanized,true,,0.92
Kai,kai,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920942,en_romanized,true,,0.92
Omega,omega,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122920962,en_romanized,true,,0.92
664,664,fictional character from The Eminence in Shadow,fictional_character,wikidata_fictional_characters_en,Q122922084,en_romanized,false,,0.92
Nehmetawy,nehmetawy,ancient Egyptian goddess,fictional_character,wikidata_fictional_characters_en,Q19282,en_romanized,true,,0.92
Shesmetet,shesmetet,ancient Egyptian goddess,fictional_character,wikidata_fictional_characters_en,Q19285,en_romanized,true,,0.92
Wepset,wepset,ancient Egyptian goddess,fictional_character,wikidata_fictional_characters_en,Q19295,en_romanized,true,,0.92
Nebethetepet,nebethetepet,ancient Egyptian goddess,fictional_character,wikidata_fictional_characters_en,Q19302,en_romanized,true,,0.92
Raet-Tawy,raet-tawy,ancient Egyptian solar goddess,fictional_character,wikidata_fictional_characters_en,Q19312,en_romanized,true,,0.92
Mut,mut,Egyptian deity,fictional_character,wikidata_fictional_characters_en,Q29409,en_romanized,true,,0.92
